dataset_id,movie_name,trial_idx,n_trials_total,start_sample,end_sample,duration_samples,duration_s,acq_rate
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,7,30,13718490,13916655,198165,9.90825,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,8,30,13916655,14114890,198235,9.91175,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,9,30,14114890,14313063,198173,9.90865,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,10,30,14313063,14511345,198282,9.9141,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,11,30,14511345,14709532,198187,9.90935,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,12,30,14709532,14907694,198162,9.9081,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,13,30,14907694,15105899,198205,9.91025,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,14,30,15105899,15304054,198155,9.90775,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,15,30,15304054,15502293,198239,9.91195,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,16,30,15502293,15700263,197970,9.8985,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,17,30,15700263,15898271,198008,9.9004,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,18,30,15898271,16096412,198141,9.90705,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,19,30,16096412,16294625,198213,9.91065,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,20,30,16294625,16492515,197890,9.8945,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,21,30,16492515,16690561,198046,9.9023,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,22,30,16690561,16888573,198012,9.9006,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,23,30,16888573,17086746,198173,9.90865,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,24,30,17086746,17285108,198362,9.9181,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,25,30,17285108,17483259,198151,9.90755,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,26,30,17483259,17681495,198236,9.9118,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,27,30,17681495,17879603,198108,9.9054,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,28,30,17879603,18077972,198369,9.91845,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_30x,29,30,18077972,18276102,198130,9.9065,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_3x,0,3,546487,744389,197902,9.8951,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_3x,1,3,744389,942425,198036,9.9018,20000.0
2024.03.14-13.00.17-Rec,step_up_5s_5i_b0_3x,2,3,942425,1140590,198165,9.90825,20000.0
2024.03.14-14.06.50-Rec,baseline_127,0,1,295013,354719,59706,2.9853,20000.0
2024.03.14-14.06.50-Rec,freq_step_5st_3x,0,3,2259145,2757011,497866,24.8933,20000.0
