dataset_id,movie_name,trial_idx,n_frames,trial_duration_s,frame_rate_hz,trial_start,trial_end
2024.02.26-11.44.42-Rec,freq_step_5st_3x,1,1500,24.75825,60.5858653176214,2737444,3232609
2024.02.26-11.44.42-Rec,freq_step_5st_3x,2,1500,24.78835,60.51229710731049,3232609,3728376
2024.02.26-11.44.42-Rec,green_blue_3s_3i_3x,0,720,11.9068,60.469647596331505,1359055,1597191
2024.02.26-11.44.42-Rec,green_blue_3s_3i_3x,1,720,11.8942,60.533705503522725,1597191,1835075
2024.02.26-11.44.42-Rec,green_blue_3s_3i_3x,2,720,11.9025,60.49149338374291,1835075,2073125
2024.02.26-11.44.42-Rec,iprgc_test,0,0,120.0,0.0,18771478,21171478
2024.02.26-11.44.42-Rec,iprgc_test,1,0,120.0,0.0,21202018,23602018
2024.02.26-11.44.42-Rec,moving_h_bar_s5_d8_3x,0,4520,74.6776,60.52685142532701,3967815,5461367
2024.02.26-11.44.42-Rec,moving_h_bar_s5_d8_3x,1,4520,74.663,60.538687167673416,5461367,6954627
2024.02.26-11.44.42-Rec,moving_h_bar_s5_d8_3x,2,4520,74.7094,60.501088216476106,6954627,8448815
2024.02.26-11.44.42-Rec,perfect_dense_noise_15x15_15hz_r42_3min,0,10800,178.45805,60.51842435799338,8571023,12140184
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,0,600,9.90555,60.57210351772491,12358626,12556737
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,1,600,9.9275,60.43817678166708,12556737,12755287
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,2,600,9.91735,60.50003277085108,12755287,12953634
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,3,600,9.9324,60.408360517095566,12953634,13152282
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,4,600,9.9208,60.478993629546004,13152282,13350698
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,5,600,9.91975,60.48539529726051,13350698,13549093
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,6,600,9.905,60.575466935890965,13549093,13747193
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,7,600,9.91125,60.53726825576995,13747193,13945418
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,8,600,9.915,60.51437216338881,13945418,14143718
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,9,600,9.90475,60.576995885812366,14143718,14341813
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,10,600,9.93315,60.4037993989822,14341813,14540476
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,11,600,9.91545,60.51162579610608,14540476,14738785
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,12,600,9.9261,60.4467011212863,14738785,14937307
2024.02.26-11.44.42-Rec,step_up_5s_5i_b0_30x,13,600,9.8967,60.62626936251478,14937307,15135241
